,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
4767,23,200.66,97.52228,71,3.6,2.2,0.8,6.1,0.045,0.158,0.172,0.464,0.109
4768,34,208.28,106.59412,2,2.5,3.5,0,-24.5,0.057,0.135,0.058,0.525,0
4769,31,210.82,117.93392,80,20,10.6,3.4,13.7,0.1,0.268,0.279,0.579,0.182
4770,30,208.28,108.86208,76,11,5,2.3,4.1,0.038,0.176,0.202,0.532,0.142
4771,25,193.04,96.615096,33,11.5,3.8,1.7,-1.7,0.054,0.132,0.22,0.596,0.12
4772,31,210.82,108.86208,66,6.1,5.2,0.5,-0.7,0.073,0.186,0.136,0.513,0.036
4773,23,208.28,108.86208,13,4.5,4.2,0.3,3.6,0.117,0.216,0.167,0.503,0.038
4774,27,198.12,104.32616,49,13,7.2,2.2,-2.6,0.049,0.203,0.189,0.532,0.113
4775,23,182.88,92.98636,14,1.8,1.1,1.2,-6.7,0.038,0.066,0.12,0.383,0.193
4776,23,205.74,108.86208,12,2.4,1.8,0,7,0.136,0.19,0.214,0.582,0
4777,24,205.74,108.86208,54,5.2,4.8,0.6,-2.8,0.118,0.204,0.139,0.533,0.048
4778,22,203.2,108.86208,78,27.3,6.7,6,5.4,0.029,0.166,0.309,0.552,0.281
4779,24,190.5,85.275296,80,18.1,2.7,4,9.7,0.01,0.084,0.234,0.595,0.188
4780,23,203.2,108.86208,63,4.2,3.4,0.2,-3.6,0.152,0.22,0.178,0.549,0.026
4781,22,203.2,111.13004,79,7.6,3.4,0.6,2.1,0.058,0.145,0.175,0.561,0.047
4782,36,187.96,88.45044,52,4.9,0.9,1.8,-2.8,0.014,0.061,0.187,0.495,0.225
4783,27,203.2,92.98636,54,4.2,3,0.3,1.7,0.083,0.184,0.149,0.548,0.041
4784,31,210.82,115.66596,67,2.6,3.2,0.6,-7.1,0.096,0.157,0.106,0.439,0.06
4785,24,205.74,102.0582,11,1.5,2.5,0.1,-13.1,0.141,0.192,0.12,0.412,0.02
4786,20,185.42,79.3786,61,4.3,1.1,1.8,2.7,0.029,0.093,0.197,0.521,0.264
4787,25,200.66,97.52228,13,3.7,0.8,1,-9.6,0.016,0.071,0.182,0.511,0.157
4788,28,195.58,83.460928,70,14.9,3.8,3.7,4.3,0.018,0.104,0.216,0.48,0.162
4789,26,185.42,75.749864,71,11,2.3,5.2,-3.9,0.016,0.078,0.198,0.509,0.276
4790,27,203.2,105.233344,60,11.4,5,4.3,-0.5,0.052,0.123,0.165,0.551,0.194
4791,22,205.74,99.79024,82,18.8,7.1,2.5,6.6,0.056,0.157,0.222,0.56,0.115
4792,24,190.5,83.91452,80,10.9,3.2,2.4,2.5,0.016,0.115,0.184,0.584,0.155
4793,27,187.96,79.3786,41,4.1,0.7,1.3,-1.1,0.006,0.069,0.185,0.538,0.205
4794,31,208.28,104.32616,47,2.9,1.6,0.3,-3.8,0.066,0.171,0.146,0.714,0.067
4795,29,208.28,115.66596,60,4,2,0.3,5.9,0.076,0.138,0.207,0.443,0.041
4796,32,200.66,115.66596,65,3,2.7,1,-7.3,0.069,0.189,0.155,0.46,0.135
4797,29,198.12,92.98636,75,16.5,4.4,3.5,13.6,0.036,0.153,0.265,0.609,0.223
4798,32,208.28,114.758776,56,7.3,3.4,1,-8.6,0.07,0.154,0.227,0.471,0.099
4799,25,187.96,90.7184,45,4.9,0.8,1.3,-12.7,0.022,0.067,0.237,0.497,0.223
4800,33,210.82,106.59412,70,11.2,11.7,3.2,3.2,0.08,0.3,0.159,0.519,0.137
4801,25,215.9,120.20188,11,1.7,2.3,0.1,-4.3,0.098,0.153,0.117,0.364,0.014
4802,27,208.28,104.32616,56,15.9,9.8,4.8,1.1,0.055,0.232,0.196,0.552,0.193
4803,21,210.82,111.13004,63,9,5,0.4,-2.7,0.125,0.157,0.191,0.533,0.03
4804,21,182.88,79.3786,10,5.6,3.1,3.2,18,0.079,0.143,0.161,0.556,0.269
4805,27,215.9,114.305184,58,5,3.2,0.4,-7.2,0.108,0.161,0.184,0.474,0.044
4806,28,203.2,104.32616,18,2.2,1.3,0.1,-5.8,0.045,0.153,0.195,0.386,0.011
4807,26,193.04,86.18248,29,5.2,2.3,3.1,-2.5,0.028,0.124,0.173,0.483,0.246
